model,target,R2,MAE,RMSE
XGBoost,CETR,0.995734,0.010002,0.014709
XGBoost,GETR,0.987818,0.00966,0.01495
XGBoost,TSTA,0.937962,0.037624,0.068559
XGBoost,TSDA,0.928236,0.040852,0.074797
CatBoost,CETR,0.989992,0.016334,0.022529
CatBoost,GETR,0.974845,0.015538,0.021483
CatBoost,TSTA,0.940473,0.037351,0.067157
CatBoost,TSDA,0.936602,0.039696,0.070302
RandomForest,CETR,0.973607,0.028041,0.036587
RandomForest,GETR,0.878587,0.03097,0.047198
RandomForest,TSTA,0.514042,0.125159,0.191882
RandomForest,TSDA,0.535791,0.12349,0.190233
